station_type,station_name,member_casual,total_rides,latitude,longitude
End,Ashland Ave & Division St,member,2106,41.90353981522223,-87.67038906552374
End,Ashland Ave & Garfield Blvd,casual,81,41.792822,-87.664429
End,Ashland Ave & Garfield Blvd,member,11,41.792822,-87.664429
End,Ashland Ave & Grace St,casual,1787,41.950759283715726,-87.6687254224958
End,Ashland Ave & Grace St,member,2961,41.95080263356974,-87.66873945288754
End,Ashland Ave & Grand Ave,casual,1368,41.891072,-87.666611
End,Ashland Ave & Grand Ave,member,2929,41.891072,-87.666611
End,Ashland Ave & Lake St,casual,1772,41.88592,-87.66717
End,Ashland Ave & Lake St,member,3199,41.88592,-87.66717
End,Ashland Ave & McDowell Ave,casual,134,41.809719,-87.663477
End,Ashland Ave & McDowell Ave,member,135,41.809719,-87.663477
End,Ashland Ave & Pershing Rd,casual,206,41.823465,-87.665577
End,Ashland Ave & Pershing Rd,member,176,41.823465,-87.665577
End,Ashland Ave & Wellington Ave,casual,1784,41.936083,-87.669807
End,Ashland Ave & Wellington Ave,member,4612,41.936083,-87.669807
End,Ashland Ave & Wrightwood Ave,casual,1669,41.92883,-87.668507
End,Ashland Ave & Wrightwood Ave,member,3950,41.92882999822633,-87.66850664444937
End,Augusta Blvd & Laramie Ave,casual,27,41.89866069999999,-87.7554551
End,Augusta Blvd & Laramie Ave,member,3,41.8986607,-87.7554551
End,Austin Ave & Milwaukee Ave,casual,105,41.98736,-87.77805
End,Austin Ave & Milwaukee Ave,member,84,41.98736,-87.77805
End,Austin Blvd & Chicago Ave,casual,67,41.894887,-87.774704
End,Austin Blvd & Chicago Ave,member,54,41.89488699999999,-87.77470400000001
End,Austin Blvd & Lake St,casual,140,41.88794379427211,-87.77427345514297
End,Austin Blvd & Lake St,member,212,41.88794379427211,-87.77427345514297
End,Austin Blvd & Madison St,casual,145,41.88028099999999,-87.774453
End,Austin Blvd & Madison St,member,72,41.880281,-87.774453
End,Ave H & 110th St,casual,26,41.69553,-87.53304
End,Ave H & 110th St,member,1,41.69553,-87.53304
End,Ave L & 114th,casual,65,41.68803,-87.53641
End,Ave L & 114th,member,3,41.68803,-87.53641
End,Avenue O & 118th St,casual,35,41.68100145911039,-87.5379312226869
End,Avenue O & 118th St,member,15,41.68100145911039,-87.5379312226869
End,Avenue O & 134th St,casual,32,41.6519026853208,-87.53955539376464
End,Avenue O & 134th St,member,1,41.6519026853208,-87.53955539376464
End,Avers Ave & 103rd St,casual,19,41.70586,-87.71709
End,Avers Ave & 103rd St,member,7,41.70586385142857,-87.717097086
End,Avers Ave & 16th St,casual,36,41.85909,-87.72121
End,Avers Ave & 16th St,member,39,41.85909,-87.72121
End,Avers Ave & Belmont Ave,casual,1159,41.939408,-87.723574
End,Avers Ave & Belmont Ave,member,2244,41.939408,-87.723574
End,Avers Ave & Foster Ave,casual,148,41.97541,-87.72452
End,Avers Ave & Foster Ave,member,223,41.97541,-87.72452
End,Avondale Ave & Irving Park Rd,casual,752,41.953393,-87.732002
End,Avondale Ave & Irving Park Rd,member,1776,41.953393,-87.732002
End,Baltimore Ave & 133rd St,casual,46,41.65349,-87.54703
End,Baltimore Ave & 133rd St,member,3,41.65349,-87.54703
End,Baltimore Ave & 87th St,casual,61,41.73733560041666,-87.54851460456847
End,Baltimore Ave & 87th St,member,43,41.73733560041666,-87.54851460456847
End,Bennett Ave & 79th St,casual,25,41.751785,-87.578496
End,Bennett Ave & 79th St,member,10,41.751785,-87.578496
End,Benson Ave & Church St,casual,2689,42.048214,-87.683485
End,Benson Ave & Church St,member,3750,42.048214024911736,-87.68348501046694
End,Bent Park,casual,28,42.064494,-87.724011
End,Bent Park,member,4,42.064494,-87.724011
End,Bernard St & Elston Ave,casual,314,41.949923,-87.713949
End,Bernard St & Elston Ave,member,693,41.949923,-87.713949
